id,created_at,updated_at,url,name,user_id,rank,totalRanks,searchRank,title,image_url,description
946,"2017-05-17 17:34:02","2017-05-17 17:34:02",https://www.coursera.org/learn/synapses,"Synapses, Neurons and Brains  | Coursera",2,0.00,0,0.00,"Synapses, Neurons and Brains  | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/bd/d75e7008b111e5b626b1f79a3a4b15/logo.jpg,"Synapses, Neurons and Brains  from Hebrew University of Jerusalem. These are very unique times for brain research. The aperitif for the course will thus highlight the present “brain-excit.."
945,"2017-05-17 17:33:55","2017-05-17 17:33:55",https://www.coursera.org/learn/addiction-and-the-brain,"The Addicted Brain | Coursera",2,0.00,0,0.00,"The Addicted Brain | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/d8/ec9990e6e211e5b043f3ee203da178/Cropped-Brain-Photo.png,"The Addicted Brain from Emory University. This is a course about addiction to drugs and other behaviors. It will describe what happens in the brain and how this information helps us deal wi.."
944,"2017-05-17 17:33:52","2017-05-17 17:33:52",https://www.coursera.org/learn/neurobiology,"Understanding the Brain: The Neurobiology of Everyday Life | Coursera",2,0.00,0,0.00,"Understanding the Brain: The Neurobiology of Everyday Life | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/5a/bd98507ed711e385bc8989c263e007/brain-cornerfix.jpg,"Understanding the Brain: The Neurobiology of Everyday Life from The University of Chicago. Learn how the nervous system produces behavior, how we use our brain every day, and how neuroscien.."
943,"2017-05-17 17:33:47","2017-05-17 17:33:47",https://www.coursera.org/learn/popularity,"Psychology of Popularity | Coursera",2,0.00,0,0.00,"Psychology of Popularity | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/ed/0d1810e79111e484cf33c8960d132d/course_image.jpg,"Psychology of Popularity from The University of North Carolina at Chapel Hill. The level of popularity you experienced in childhood and adolescence is still affecting you today in ways that.."
942,"2017-05-17 17:33:43","2017-05-17 17:33:43",https://www.coursera.org/learn/memory-and-movies,"Understanding Memory: Explaining the Psychology of Memory through Movies | Coursera",2,0.00,0,0.00,"Understanding Memory: Explaining the Psychology of Memory through Movies | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/cd/c98510727e11e5ac62a939eac8e268/mooc_icon_square.jpg,"Understanding Memory: Explaining the Psychology of Memory through Movies from Wesleyan University. Welcome to Understanding Memory. Someone once said that memory is fascinating because some.."
941,"2017-05-17 17:33:34","2017-05-17 17:33:34",https://www.coursera.org/learn/psychological-first-aid,"Psychological First Aid | Coursera",2,0.00,0,0.00,"Psychological First Aid | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/de/e250c02c7f11e4a56e09598f8b6c89/PFA.png,"Psychological First Aid from Johns Hopkins University. Learn to provide psychological first aid to people in an emergency by employing the RAPID model: Reflective listening, Assessment of n.."
939,"2017-05-17 17:33:29","2017-05-17 17:33:29",https://www.coursera.org/learn/sexualidad,"Sexualidad...mucho más que sexo | Coursera",2,0.00,0,0.00,"Sexualidad...mucho más que sexo | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/11/b20f9085ac11e689563722898dbcc1/Sexualidad_Mucho-mas-que-sexo-01.jpg,"Sexualidad...mucho más que sexo from Universidad de los Andes. La mayoría de las personas, en algún momento de la vida, hemos experimentado inseguridad para hablar acerca de sexualidad c.."
940,"2017-05-17 17:33:32","2017-05-17 17:33:32",https://www.coursera.org/learn/positive-psychology,"Positive Psychology  | Coursera",2,0.00,0,0.00,"Positive Psychology  | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f1/f3bbc073fd11e48378bb84f422d260/positive_psychology_course_image.jpg,"Positive Psychology  from The University of North Carolina at Chapel Hill. This course discusses research findings in the field of positive psychology, conducted by Barbara Fredrickson and .."
937,"2017-05-17 17:33:22","2017-05-17 17:33:22",https://www.coursera.org/learn/happiness,"A Life of Happiness and Fulfillment | Coursera",2,0.00,0,0.00,"A Life of Happiness and Fulfillment | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/51/441350c22211e4bd49df699111f70c/Wanting-to-be-happy.JPG,"A Life of Happiness and Fulfillment from Indian School of Business. What are the determinants of a happy and fulfilling life?  This is surely one of life’s biggest questions, and a questi.."
938,"2017-05-17 17:33:25","2017-05-17 17:33:25",https://www.coursera.org/learn/pap,"Primeros Auxilios Psicológicos (PAP) | Coursera",2,0.00,0,0.00,"Primeros Auxilios Psicológicos (PAP) | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e9/4248f0683c11e5b259e33eb6e889a0/logo_PAP_ondem_2.jpg,"Primeros Auxilios Psicológicos (PAP) from Universitat Autònoma de Barcelona. Este curso on-demand (ABIERTO, se puede cursar en cualquier momento), impartido en castellano por la Universid.."
